mal_id,english_name,score,genres,popularity
32888,Sinbad:Night at High Noon and the Wonder Gate,6.34,Adventure,10032
32899,"Kiss Him, Not Me!",7.1,"Harem, Comedy, Romance, School, Shoujo",483
32900,The Irregular at Magic High School The Movie - The Girl Who Summons The Stars,7.48,"Action, Sci-Fi, Supernatural, Magic",1111
32901,Eromanga Sensei,6.49,"Comedy, Drama, Romance, Ecchi",227
32902,The Ancient Magus' Bride:Those Awaiting a Star,8.14,"Slice of Life, Magic, Fantasy, Shounen",667
32906,Crane Game Girls,4.44,"Comedy, Game, Space",5784
32915,Durarara!! x2 Ketsu:Dufufufu!!,7.59,"Action, Mystery, Supernatural",2461
32924,Urara Meirocho,7.13,"Slice of Life, Comedy, Fantasy, Seinen",1332
32932,Choju Jinbutsu Giga,6.11,Romance,8903
32933,Little Yeyos,5.37,"Comedy, Fantasy, Kids",13990
32936,The Silver Guardian,6.25,"Adventure, Fantasy",1555
32937,KonoSuba:God's Blessing on This Wonderful World! 2,8.31,"Adventure, Comedy, Parody, Supernatural, Magic, Fantasy",69
32948,The Great Passage,7.64,"Slice of Life, Drama, Romance",1575
32949,Scum's Wish,7.31,"Drama, Romance, School, Seinen",272
32950,RS Project:Rebirth Storage,5.53,Mecha,6096
32951,Akashic Records of Bastard Magic Instructor,7.19,"Action, Magic, Fantasy, School",258
32961,Regalia:The Three Sacred Stars,5.99,"Action, Sci-Fi, Mecha",3214
32962,Occultic;Nine,6.94,"Sci-Fi, Mystery",889
32977,Aggretsuko,7.64,"Music, Slice of Life, Comedy",1778
32979,Flip Flappers,7.68,"Sci-Fi, Adventure, Comedy, Magic",949
32981,Hand Shakers,5.35,Action,1564
32995,Yuri!!! On ICE,7.92,"Comedy, Sports",191
32998,91 Days,7.84,"Action, Drama, Historical",265
33003,Magical Girl Raising Project,7.0,"Action, Fantasy, Magic, Supernatural, Thriller",1154
33010,FLCL Progressive,6.42,"Action, Comedy, Dementia, Mecha, Parody, Sci-Fi",1358
33011,KAIJU GIRLS,5.99,"Comedy, Parody, Fantasy",5346
33012,Island,6.35,"Drama, Sci-Fi",1362
33018,Katsugeki Touken Ranbu,6.73,"Action, Historical, Samurai, Fantasy",1431
33023,Touken Ranbu - Hanamaru,6.82,"Action, Slice of Life, Comedy, Historical, Drama, Fantasy",1864
33026,Time Bokan 24,5.89,"Adventure, Comedy, Mecha",6979
33028,Danganronpa 3:The End of Hope's Peak High School - Despair Arc,7.49,"Action, Mystery, Horror, Psychological, School",644
33031,Scorching Ping Pong Girls,7.08,Sports,2697
33036,The Moment You Fall in Love,7.1,"Comedy, Drama, Romance, School",1775
33037,TSUKIUTA. The Animation,6.95,Music,3457
33041,BBK/BRNK:The Gentle Giants of the Galaxy,6.83,"Action, Sci-Fi, Drama, Mecha",3387
33045,Dream Festival!,6.76,Music,4603
33047,Fate/Extra:Last Encore,6.29,"Action, Fantasy, Magic",943
33049,Fate/stay night:Heaven's Feel - II. Lost Butterfly,8.59,"Action, Fantasy, Magic, Supernatural",737
33050,Fate/stay night:Heaven's Feel - III. Spring Song,8.79,"Action, Supernatural, Magic, Fantasy",1173
33064,Star Blazers:Space Battleship Yamato 2202,7.7,"Action, Drama, Military, Sci-Fi, Space",3889
33069,Dimension W:Do Robots Dream of Bathhouses?,6.65,"Sci-Fi, Seinen",4070
33075,Myriad Colors Phantom World Special,6.8,"Action, Comedy, Supernatural, Fantasy",2456
33082,Kingsglaive:Final Fantasy XV,7.48,Action,2310
33091,Planetarian,7.56,"Sci-Fi, Drama",1706
33094,WWW.WAGNARIA!!,7.45,"Slice of Life, Comedy",1184
33095,Descending Stories:Showa Genroku Rakugo Shinju,8.79,"Drama, Historical, Josei",1059
33119,Tokyo-Live!,4.7,"Music, Parody",6894
33122,Patissier Monster,5.85,Slice of Life,13035
33142,Re:ZERO ~Starting Break Time From Zero~,6.65,"Adventure, Comedy, Fantasy, Parody",2090
33181,Rainbow Days OVA,6.8,"Comedy, Romance, School, Shoujo, Slice of Life",4364
33184,Battle Girl High School,5.84,"Action, Sci-Fi, School",3596
33185,PEACE MAKER KUROGANE – Belief & Friend,6.65,"Action, Comedy, Historical, Samurai, Shounen",5903
33192,Robot Town Sagami 2028,6.27,Drama,11348
33195,One Hundred Thousand Bad Jokes,6.4,"Action, Adventure, Comedy, Parody, Fantasy",12085
33197,Lostorage incited WIXOSS,6.71,"Game, Psychological",2296
33203,Anonymous Noise,7.01,"Music, Drama, Romance, School, Shoujo",1560
33204,Napping Princess,6.94,"Adventure, Fantasy, Mecha, Sci-Fi",2896
33206,Miss Kobayashi's Dragon Maid,8.03,"Slice of Life, Comedy, Fantasy",109
33218,Your Voice -KIMIKOE-,7.03,Drama,3193
33220,Summer's Puke is Winter's Delight,4.64,"Dementia, Music",11344
33222,The Highschool Life of a Fudanshi,6.55,"Slice of Life, Comedy, School, Shoujo",2099
33238,PADAK,6.66,Drama,12004
33240,Chi's Sweet Adventure,6.79,Slice of Life,5989
33244,Kiitaro's yokai picture diary,6.45,"Comedy, Supernatural",3265
33245,Rainy Cocoa in Hawaii,4.77,"Comedy, Slice of Life",6188
33248,"K:SEVEN STORIES ""R:B - BLAZE -""",7.37,"Action, Super Power, Supernatural, Drama",2127
33255,The Disastrous Life of Saiki K.,8.45,"Comedy, School, Shounen, Slice of Life, Supernatural",183
33263,The Kubikiri Cycle,7.82,"Action, Mystery, Supernatural, Drama",1712
33266,NANOCORE,6.14,Sci-Fi,11121
33274,Onara Goro,5.51,Comedy,4737
33280,Is the order a rabbit?? Dear My Sister,7.79,"Slice of Life, Comedy",3001
33286,Strike the Blood Second,7.06,"Action, Harem, Supernatural, Ecchi, Vampire, Fantasy",1052
33299,Magic-Kyun! Renaissance,7.08,"Music, Magic, Romance, School",2590
33309,The Devil Ring,6.19,"Action, Mystery, Supernatural, Fantasy",6836
33314,Digimon Universe App Monsters,6.61,"Action, Sci-Fi, Adventure, Comedy, Kids, Fantasy",4709
33326,Aftermath,6.05,"Military, Music, Drama",10058
33335,Japanese Classical Stories,6.94,"Kids, Fantasy",12021
33337,ACCA:13-Territory Inspection Dept.,7.68,"Mystery, Police, Drama, Fantasy, Seinen",1202
33341,Time Travel Girl,6.52,"Sci-Fi, Adventure",4209
33350,Rakshasa Street,7.76,"Action, Supernatural",3744
33352,Violet Evergarden,8.64,"Slice of Life, Drama, Fantasy",67
33354,Cardcaptor Sakura:Clear Card,7.66,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",1495
33363,Eiyu Kaitai,6.01,"Comedy, Drama",7415
33377,Trickster,6.23,"Sci-Fi, Mystery, Psychological, Drama",1416
33392,Gakuen Handsome,6.62,"Comedy, Parody, School, Shounen Ai",3052
33394,Mahou Shoujo? Naria Girls,3.84,Magic,5844
33417,Super Lovers 2,7.3,"Slice of Life, Comedy, Drama, Romance, Shounen Ai",1959
33421,Hitori no Shita - The Outcast,6.78,"Action, Super Power, Supernatural",1181
33430,Oscar's Oasis,5.81,Comedy,11665
33433,Izetta:The Last Witch,6.76,"Action, Historical, Military",993
33434,HEYBOT!,5.93,"Sci-Fi, Comedy, Parody, Kids",9099
33443,The Legend of Luoxiaohei,7.64,"Comedy, Supernatural",8260
33447,Piacevole:My Italian Cooking,5.88,"Slice of Life, Comedy",4291
33462,Miss Bernard said.,6.0,"Comedy, School",3742
33475,Armed Girl's Machiavellism,6.96,"Action, Comedy, School, Shounen",560
33478,UQ Holder!,7.0,"Action, Sci-Fi, Magic, Fantasy, Shounen",1094
33486,My Hero Academia 2,8.33,"Action, Comedy, Super Power, School, Shounen",13
33487,Masamune-kun's Revenge,6.83,"Comedy, Harem, Romance, School, Shounen",207
33489,Little Witch Academia,7.91,"Adventure, Comedy, Fantasy, Magic, School",279
33493,Promised Town,5.35,"Action, Mecha, Sci-Fi",11670
33502,WorldEnd:What do you do at the end of the world? Are you busy? Will you save us?,7.73,"Sci-Fi, Drama, Romance, Fantasy",516
33506,Blue Exorcist:Kyoto Saga,7.43,"Action, Demons, Supernatural, Fantasy, Shounen",222
33508,Order Designer,5.48,"Game, Mystery, Parody, Horror, Psychological, Fantasy",9268
33513,Assassination Classroom The Movie:365 Days' Time,7.36,"Action, Comedy, School, Shounen",1887
33531,Last Hope,6.34,"Sci-Fi, Mecha",2927
33532,Twin Angels Break,5.89,"Drama, Magic",4735
33534,Curly,5.71,Comedy,14176
33536,Fly,5.03,Fantasy,13030
33541,Crane Game Girls Galaxy,4.82,"Game, Space, Comedy",7974
33546,Monster Strike:Mermaid Rhapsody,6.75,"Action, Fantasy, Game",8320
33558,Tales of Zestiria the X Prologue:The Age of Chaos,7.27,"Action, Adventure, Magic, Fantasy",2149
33562,The Unparalleled Black & White,6.3,"Action, Comedy, Supernatural",6622
33569,Re:ZERO PETIT,6.71,"Adventure, Comedy, Parody, Fantasy",2525
33581,Trinity Seven:Eternity Library & Alchemic Girl,7.28,"Action, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen",1185
33605,Spiritpact,7.14,"Action, Comedy, Magic, Shounen Ai, Supernatural",1941
33654,Hitorijime My Hero,7.41,"Drama, Romance, School, Shounen Ai, Slice of Life",1373
33668,Matoi the Sacred Slayer,6.72,"Supernatural, Magic",3468
33669,Cure Miracle and Cure Mofurun's Magic Lesson,5.8,"Action, Slice of Life, Magic, Fantasy, School, Shoujo",10691
33672,Doraemon the Movie 2017:Great Adventure in the Antarctic Kachi Kochi,7.3,"Adventure, Comedy, Fantasy, Kids, Shounen",8293
33690,Nazotokine,4.86,Game,4580
33693,Meitantei Gordon,4.68,"Mystery, Comedy",11780
33702,Tong Zhi Zhe,6.24,"Adventure, Horror, Police",9718
33709,Garo:Crimson Moon - The Butterfly of Time,6.22,"Action, Demons, Fantasy, Magic, Supernatural",7964
33724,Monster Strike The Movie:To The Place of Beginnings,6.81,"Action, Fantasy, Game",7249
33726,Saiyuki Reload Blast,7.22,"Action, Adventure, Comedy, Demons, Supernatural, Drama, Josei",2818
